,datetime1d,wsmx
323,2015-08-21,25.33
324,2015-08-22,25.15
325,2015-08-23,18.1
326,2015-08-24,26.5
327,2015-08-25,25.51
328,2015-08-26,24.7
329,2015-08-27,19.51
330,2015-08-28,25.65
331,2015-08-29,22.26
332,2015-08-30,23.67
333,2015-08-31,23.04
334,2015-09-01,19.19
335,2015-09-02,23.07
336,2015-09-03,20.07
337,2015-09-04,18.63
338,2015-09-05,31.65
339,2015-09-06,19.62
340,2015-09-07,24.31
341,2015-09-08,19.05
342,2015-09-09,22.69
343,2015-09-10,22.79
344,2015-09-11,16.65
345,2015-09-12,14.96
346,2015-09-13,16.05
347,2015-09-14,18.24
348,2015-09-15,20.14
349,2015-09-16,26.18
350,2015-09-17,19.4
351,2015-09-18,18.45
352,2015-09-19,25.61
353,2015-09-20,20.18
354,2015-09-21,22.19
355,2015-09-22,18.52
356,2015-09-23,20.11
357,2015-09-24,16.05
358,2015-09-25,24.17
359,2015-09-26,20.85
360,2015-09-27,22.01
361,2015-09-28,19.9
362,2015-09-29,23.36
363,2015-09-30,19.37
364,2015-10-01,34.79
365,2015-10-02,28.29
366,2015-10-03,16.69
367,2015-10-04,19.09
368,2015-10-05,21.84
369,2015-10-06,21.8
370,2015-10-07,41.38
371,2015-10-08,16.3
372,2015-10-09,24.91
373,2015-10-10,17.36
374,2015-10-11,23.21
375,2015-10-12,22.69
376,2015-10-13,29.11
377,2015-10-14,15.81
378,2015-10-15,24.73
379,2015-10-16,22.33
380,2015-10-17,18.77
381,2015-10-18,14.99
382,2015-10-19,15.88
383,2015-10-20,22.33
384,2015-10-21,21.2
385,2015-10-22,15.03
386,2015-10-23,16.97
387,2015-10-24,15.45
388,2015-10-25,20.89
389,2015-10-26,16.55
390,2015-10-27,16.09
391,2015-10-28,19.47
392,2015-10-29,15.88
393,2015-10-30,19.12
394,2015-10-31,20.0
395,2015-11-01,18.38
396,2015-11-02,18.13
397,2015-11-03,17.64
398,2015-11-04,14.15
399,2015-11-05,16.05
400,2015-11-06,17.6
401,2015-11-07,19.33
402,2015-11-08,18.1
403,2015-11-09,22.54
