date,area_m2,treefall,branchfall,stand_dead
2016-09-22,11.45429429540,1,0,0
2016-09-22,49.21169661830,0,1,0
2016-09-22,26.22976866000,1,0,0
2016-09-22,21.09764244490,0,1,0
2016-09-22,73.63288621720,0,1,0
2016-09-22,31.80635784180,1,0,0
2016-09-22,63.71795192910,1,0,0
2016-09-22,41.54599203470,0,1,0
2016-09-22,6.65408499717,0,1,0
2016-09-22,11.02109572690,0,1,0
2016-09-22,40.29542007330,1,0,0
2016-09-22,65.58496610320,1,0,0
2016-09-22,21.63084430130,0,1,0
2016-09-22,42.16553291900,0,1,0
2016-09-22,39.23945886060,0,1,0
2016-09-22,31.39049535930,1,0,0
2016-09-22,6.49795291038,0,1,0
2016-09-22,11.30137088840,0,1,0
2016-09-22,13.54951559140,0,1,0
2016-09-22,12.15248798690,0,0,1
2016-09-22,16.20124928270,0,0,1
2016-09-22,23.38069242900,0,1,0
2016-09-22,8.88445942432,0,1,0
2016-09-22,102.82619498100,0,0,1
2016-09-22,48.91791607850,1,0,0
2016-09-22,9.91987570138,0,1,0
2016-09-22,29.75633891160,0,1,0
2016-09-22,32.47640795550,0,1,0
2016-09-22,51.00392624670,1,0,0
2016-09-22,13.96373410130,0,1,0
2016-09-22,8.11830309151,0,1,0
2016-09-22,23.61310095780,0,1,0
2016-09-22,22.07945724480,0,1,0
2016-09-22,40.96216603160,0,0,1
2016-09-22,27.68030848640,1,0,0
2016-09-22,88.75834502510,0,0,1
2016-09-22,31.70841775240,1,0,0
2016-09-22,22.50228514190,0,1,0
2016-09-22,8.51470259247,0,1,0
2016-09-22,9.90425368858,1,0,0
2016-09-22,23.58487896220,0,1,0
2016-09-22,15.06996578820,0,1,0
2016-09-22,16.87190502640,0,1,0
2016-09-22,8.87536503722,0,1,0
2016-09-22,33.41769108480,0,1,0
2016-09-22,30.47169862930,1,0,0
2016-09-22,34.47942381150,0,1,0
2016-09-22,25.33305916960,0,1,0
2016-09-22,10.38256025170,0,1,0
2016-10-20,31.63358966550,0,1,0
2016-10-20,38.13408867120,0,1,0
2016-10-20,97.57500704900,1,0,0
2016-10-20,43.45803551110,1,0,0
2016-10-20,40.61396709520,1,0,0
2016-12-23,87.83729443100,1,0,0
2016-12-23,29.26667940350,0,0,3
2016-12-23,125.38609798300,1,0,0
2016-12-23,203.05331743900,1,0,0
2016-12-23,63.49834254750,1,0,0
2016-12-23,116.84332302500,1,0,0
2016-12-23,143.69511644500,0,0,1
2016-12-23,105.12207485300,1,0,0
2016-12-23,56.24970685030,1,0,0
2016-12-23,37.67730268770,1,0,0
2016-12-23,33.34031081070,1,0,0
2016-12-23,82.33657592400,1,0,0
2016-12-23,64.24420127220,1,0,0
2016-12-23,122.32138340300,1,0,0
2016-12-23,26.38146076670,0,1,0
2017-03-15,17.86089132740,1,0,0
2017-06-22,33.77213256000,1,0,0
2017-04-21,69.34190639030,1,0,0
2017-06-22,51.93796685250,1,0,0
2017-06-22,53.82425566160,1,0,0
2017-06-22,29.21012787370,1,0,0
2017-04-21,32.39533809540,0,0,1
2017-04-21,16.12721100330,0,1,0
2017-05-17,32.38995541440,0,1,0
2017-03-15,174.59833873600,0,0,1
2017-08-31,18.23531620710,1,0,0
2017-11-29,28.91890864580,0,0,1
2017-08-31,14.84657987860,1,0,0
2017-06-22,20.10112667420,1,0,0
2017-08-31,11.63616798720,1,0,0
2017-06-22,17.96598575470,0,1,0
2017-08-31,20.06633569670,0,1,0
2017-03-15,26.68016088680,1,0,0
2017-10-30,8.78137956924,0,1,0
2017-04-21,68.41497727710,1,0,0
2017-08-31,57.75076624190,1,0,0
2017-10-30,61.66349110010,1,0,0
2017-05-17,47.35392534860,0,1,0
2017-08-31,8.85362346878,1,0,0
2017-06-22,28.55488463020,0,1,0
2017-06-22,35.23691622990,1,0,0
2017-04-21,66.22084877070,0,1,0
2017-03-15,37.09186022470,0,1,0
2017-03-15,18.94822465100,1,0,0
2017-11-29,13.45657499400,1,0,0
2017-10-30,19.36667651580,1,0,0
2017-10-30,59.65253729580,0,1,0
2017-03-15,48.72877977370,0,1,0
2017-10-30,23.39554410380,0,1,0
2017-06-22,48.76997413090,0,1,0
2017-10-30,34.49842344510,1,0,0
2017-04-21,55.65029838370,1,0,0
2017-03-15,107.01697981000,1,0,0
2017-08-31,33.09487136100,1,0,0
2017-05-17,56.81434976430,1,0,0
2017-08-31,276.46412177100,0,0,1
2017-11-29,33.28272916230,0,1,0
2017-04-21,275.72461312600,1,0,0
2017-06-22,38.39006613980,0,1,0
2017-08-31,33.76121921840,1,0,0
2017-03-15,16.99852189700,1,0,0
2017-06-22,136.68180374500,0,0,1
2017-03-15,79.98696561830,0,0,1
2017-06-22,16.39773887430,1,0,0
2017-09-27,86.91729526320,1,0,0
2017-09-27,17.83717725010,0,1,0
2017-06-22,34.57528196660,0,1,0
2017-04-21,12.05717834320,0,1,0
2017-11-29,60.78597693600,1,0,0
2017-10-30,85.14941987970,0,1,0
2017-10-30,23.98884361960,1,0,0
2017-11-29,122.17008957600,0,1,0
2017-08-31,26.08057352830,1,0,0
2017-10-30,45.90622980090,1,0,0
2017-10-30,15.00479031180,1,0,0
2017-10-30,20.57575799830,1,0,0
2017-10-30,31.97758030450,1,0,0
2017-08-31,66.05775981900,1,0,0
2017-08-31,75.23799451840,1,0,0
2017-08-31,104.93320354700,1,0,0
2017-08-31,19.36607816900,0,1,0
2017-11-29,52.10723908000,1,0,0
2017-10-30,91.28810849970,1,0,0
2017-11-29,57.44125009320,1,0,0
