Id,area_m2,date,MEAN
15,15.14085637,18/05/16,-9.567731585
15,56.11303073,18/05/16,-1.571620473
15,14.93078231,18/05/16,-5.921224976
15,30.01146536,18/05/16,-9.220913303
15,85.28737271,18/05/16,-13.96378488
15,23.96741185,18/05/16,-7.048346146
15,56.25288881,18/05/16,-5.405096383
15,23.41864562,18/05/16,-8.019180934
15,145.0711829,18/05/16,-7.071112061
15,11.54822468,18/05/16,-1.700880686
15,18.96281125,18/05/16,-9.659604524
15,38.69567436,18/05/16,-8.679556357
15,89.00758449,18/05/16,-7.330625765
15,15.9615841,18/05/16,-8.15206337
15,12.76534251,18/05/16,-5.778442383
15,19.67509606,18/05/16,-8.164662411
15,25.50793353,18/05/16,-7.877532959
15,26.07989627,18/05/16,-6.930944372
15,6.420492857,18/05/16,0.05371666
15,10.90847742,18/05/16,0.012014771
15,46.02313753,18/05/16,-6.638723077
15,30.98555989,18/05/16,-15.97189178
15,40.50364193,18/05/16,-8.153066254
15,28.74322787,18/05/16,-7.906999588
15,15.65810844,18/05/16,-9.648851282
15,10.33781563,18/05/16,-1.428903198
15,7.013587897,18/05/16,-1.983206613
15,4.899623375,18/05/16,0.818153381
15,8.358428131,18/05/16,-3.220969306
15,31.06420024,18/05/16,0.266350301
15,59.61589465,18/05/16,-3.62401118
15,79.1007545,18/05/16,-6.006181961
15,30.21364411,18/05/16,-9.258218892
15,24.7211691,18/05/16,-3.281972656
15,15.68358805,18/05/16,-3.564798692
15,24.24445014,18/05/16,-10.43989685
15,22.21526621,18/05/16,-13.4121666
15,5.542568088,18/05/16,-1.638278961
15,19.30583685,18/05/16,-4.808847215
15,99.15542331,18/05/16,-3.661145605
15,24.76209271,18/05/16,-2.803794556
15,15.92325093,18/05/16,-2.567310588
15,7.546283681,18/05/16,-0.73932457
15,65.00686025,18/05/16,-1.533072269
15,15.1818145,18/05/16,-6.030579461
15,15.85184622,18/05/16,-1.471189372
15,31.37327063,18/05/16,-2.985758628
15,8.742913242,18/05/16,-2.722886827
15,7.208238809,18/05/16,-1.954280308
15,9.702640374,18/05/16,-10.87234879
15,22.77525932,18/05/16,-19.12025174
15,17.37731583,18/05/16,-0.461209749
15,25.53452362,18/05/16,-4.53107159
15,17.13004308,18/05/16,-3.266903148
15,13.15713504,18/05/16,-11.90410673
15,9.258760471,18/05/16,-3.910861545
15,26.83977142,18/05/16,-6.256070737
15,6.451363285,18/05/16,-0.559257507
15,11.65033363,18/05/16,-1.606438377
15,5.722986951,18/05/16,-1.661395264
15,28.93366796,18/05/16,-3.361117659
15,7.404738706,18/05/16,-2.875984192
15,13.58898571,18/05/16,-2.556075033
15,12.22065406,18/05/16,-10.11052195
15,26.8476855,18/05/16,-1.469847459
15,7.5848756,18/05/16,-3.054218292
15,13.39669668,18/05/16,-8.195324707
15,28.50229365,18/05/16,-6.689847749
15,20.71649365,18/05/16,-5.643740202
15,20.95884616,18/05/16,-4.896945351
15,16.99479364,18/05/16,-5.813375373
15,41.99153739,18/05/16,-2.362272353
15,6.982960872,18/05/16,0.835627238
15,11.93889924,18/05/16,-6.137874349
15,28.04581102,18/05/16,-7.71660287
15,28.4374996,18/05/16,-7.066934713
15,10.74918678,18/05/16,-7.804151747
16,126.0014029,01/06/16,-12.08481641
16,122.541399,01/06/16,-14.05452722
16,323.8057949,01/06/16,-17.18656238
16,28.22052683,01/06/16,-4.537983647
16,41.05342016,01/06/16,-2.585113525
16,6.323867373,01/06/16,-0.549603271
16,43.33146046,01/06/16,-4.475338811
16,23.40800437,01/06/16,-5.569946289
16,39.65393808,01/06/16,-4.729935084
16,17.9527067,01/06/16,-5.198224068
16,25.67853478,01/06/16,-7.759063721
16,10.72654545,01/06/16,-4.350345958
16,14.24151721,01/06/16,-5.897888184
16,17.76017217,01/06/16,-4.839589437
16,21.30380605,01/06/16,-4.073580655
16,8.051260553,01/06/16,-2.672968547
16,5.681327907,01/06/16,7.048942566
16,19.89708623,01/06/16,-2.413783264
16,6.895775064,01/06/16,-4.495252609
16,7.932398538,01/06/16,-4.86408827
16,34.7268093,01/06/16,-2.819353376
16,16.19911157,01/06/16,-5.336547852
16,39.26419143,01/06/16,-4.851048787
16,26.3367654,01/06/16,-7.742672119
16,94.80056246,01/06/16,-6.332108364
16,7.976109186,01/06/16,-4.405532837
17,120.4839963,13/07/16,-14.38434176
17,139.4045047,13/07/16,-19.88042378
17,65.67957983,13/07/16,-15.6901118
17,31.03597492,13/07/16,-12.80195262
17,146.0053449,13/07/16,-14.94984959
17,50.32736515,13/07/16,-17.08783295
17,68.11056677,13/07/16,-16.70822365
17,175.3748307,13/07/16,-3.63348999
17,107.1341162,13/07/16,-8.686382718
17,28.36220537,13/07/16,-7.939389459
17,447.5377997,13/07/16,-16.74311825
17,90.75975633,13/07/16,-10.30802337
17,79.02260353,13/07/16,-14.38315379
17,25.51617712,13/07/16,-17.46753375
17,44.95541463,13/07/16,-16.80861063
17,56.57034033,13/07/16,-12.89538864
17,38.17104159,13/07/16,-14.55904595
17,27.19486534,13/07/16,-15.17822266
17,28.17256069,13/07/16,-14.11561995
17,280.6866212,13/07/16,-19.02300342
17,58.75959397,13/07/16,-13.03003188
17,102.0511194,13/07/16,-21.36185538
17,71.2165707,13/07/16,-13.39781544
17,30.2814224,13/07/16,-15.45689341
17,57.16204069,13/07/16,-12.53760487
17,30.30975647,13/07/16,-12.18827229
17,56.34601747,13/07/16,-9.427583393
17,420.6655658,13/07/16,-13.715769
17,82.38477267,13/07/16,-14.2425271
17,93.73759031,13/07/16,-18.0365448
17,312.4168882,13/07/16,-14.08266214
17,19.84446933,13/07/16,-11.26226807
17,48.46949594,13/07/16,-14.3194969
17,112.7385152,13/07/16,-8.696318911
17,311.3780771,13/07/16,-21.4533906
17,237.5204432,13/07/16,-18.45349402
17,94.70659443,13/07/16,-15.35763772
17,46.81848407,13/07/16,-19.13333607
17,85.24489222,13/07/16,-11.97503594
17,159.2769886,13/07/16,-9.244608657
17,202.8842648,13/07/16,-12.66020894
17,404.1071042,13/07/16,-15.92582222
17,107.5508413,13/07/16,-9.431429854
17,16.77992486,13/07/16,-5.29791832
17,126.9254254,13/07/16,-12.99212378
17,45.53527307,13/07/16,-9.813179186
17,23.84457999,13/07/16,-1.8366642
17,15.59742943,13/07/16,-14.90764567
17,9.254829567,13/07/16,0.16448466
17,73.26993646,13/07/16,-6.429990668
17,30.83083693,13/07/16,-6.781787109
17,10.57616676,13/07/16,-9.239304976
17,21.94168815,13/07/16,-6.335221
17,86.45451842,13/07/16,-28.54680625
17,110.312872,13/07/16,-18.2933291
17,38.99162742,13/07/16,-5.874573155
17,41.84372168,13/07/16,-8.024550647
17,12.55357853,13/07/16,-2.289266733
17,112.9269158,13/07/16,-11.90709645
17,194.1839584,13/07/16,-10.24187018
17,70.22171797,13/07/16,-7.247044809
17,24.82704426,13/07/16,-4.659155804
17,26.84607184,13/07/16,-3.324926523
17,11.21751119,13/07/16,-8.922944502
17,15.08063779,13/07/16,1.391643524
17,41.40230754,13/07/16,-13.58827019
17,7.492557574,13/07/16,2.053710938
17,7.567859772,13/07/16,-1.962439643
17,20.29125031,13/07/16,-12.46172878
17,37.59388119,13/07/16,-1.442807584
17,93.78539914,13/07/16,-4.256135464
17,7.89652117,13/07/16,-0.983345032
17,88.32678956,13/07/16,-4.67223861
17,9.467249834,13/07/16,-4.80255466
17,11.34599883,13/07/16,-5.14589163
17,56.3971222,13/07/16,-4.238957541
17,52.3695814,13/07/16,-3.834883796
17,16.95336892,13/07/16,-3.757057639
17,9.69373069,13/07/16,-5.948350386
17,8.781379566,13/07/16,-18.64118576
17,19.68823333,13/07/16,-3.163479275
17,39.15871044,13/07/16,-0.068325043
17,8.89198687,13/07/16,-1.310997009
17,52.17196668,13/07/16,-7.006980016
17,21.4460685,13/07/16,-7.495965709
17,40.71515386,13/07/16,-5.917547989
17,14.39723772,13/07/16,-3.001643254
17,17.8848679,13/07/16,-1.375952148
